,전출지별,전입지별,2017_x,2018_x,2019_x,2020_x,2021_x,거리,전입지 면적,2017_y,2018_y,2019_y,2020_y,2021_y,2017,2018,2019,2020,2021
157,충청북도,경상북도,3475,3122,3629,3493,3892,132.1762692,19034795138,2691706,2676831,2665836,2639422,2626609,1594432,1599252,1600007,1600837,1597427
158,충청북도,경상남도,1726,1731,1714,1896,1826,146.6384443,10541895014,3380404,3373988,3362553,3340216,3314183,1594432,1599252,1600007,1600837,1597427
159,충청북도,제주특별자치도,1009,839,805,793,835,252.9781929,1850278724,657083,667191,670989,674635,676759,1594432,1599252,1600007,1600837,1597427
160,충청남도,서울특별시,18582,19427,20484,21398,19358,60.42985457,605243961.2,9857426,9765623,9729107,9668465,9509458,2116770,2126282,2123709,2121029,2119257
161,충청남도,부산광역시,2303,2086,2143,2334,2293,259.0192729,770170750.8,3470653,3441453,3413841,3391946,3350380,2116770,2126282,2123709,2121029,2119257
162,충청남도,대구광역시,1754,1737,1741,1866,1780,191.1789792,883698218.6,2475231,2461769,2438031,2418346,2385412,2116770,2126282,2123709,2121029,2119257
163,충청남도,인천광역시,6251,6365,6599,6775,6636,61.60093359,1066465187,2948542,2954642,2957026,2942828,2948375,2116770,2126282,2123709,2121029,2119257
164,충청남도,광주광역시,1447,1435,1417,1432,1506,100.5014679,501113181.6,1463770,1459336,1456468,1450062,1441611,2116770,2126282,2123709,2121029,2119257
165,충청남도,대전광역시,15082,15349,15026,15978,14739,56.62676733,539503587.6,1502227,1489936,1474870,1463882,1452251,2116770,2126282,2123709,2121029,2119257
166,충청남도,울산광역시,947,1008,976,974,1014,278.2386505,1062327677,1165132,1155623,1148019,1136017,1121592,2116770,2126282,2123709,2121029,2119257
167,충청남도,세종특별자치시,6587,6698,6495,6748,6307,42.13028288,464918346.3,280100,314126,340575,355831,371895,2116770,2126282,2123709,2121029,2119257
168,충청남도,경기도,31357,34619,36585,39591,37709,52.7406736,10196731503,12873895,13077153,13239666,13427014,13565450,2116770,2126282,2123709,2121029,2119257
169,충청남도,강원도,2868,2935,2867,3193,3084,164.1032625,16829671465,1550142,1543052,1541502,1542840,1538492,2116770,2126282,2123709,2121029,2119257
170,충청남도,충청북도,5828,5848,6079,6701,6721,79.6904995,7406988695,1594432,1599252,1600007,1600837,1597427,2116770,2126282,2123709,2121029,2119257
171,충청남도,전라북도,5257,5332,5331,5881,5545,57.66212586,8072147335,1854607,1836832,1818917,1804104,1786855,2116770,2126282,2123709,2121029,2119257
172,충청남도,전라남도,2481,2584,2834,2648,2724,119.7577317,12358940175,1896424,1882970,1868745,1851549,1832803,2116770,2126282,2123709,2121029,2119257
173,충청남도,경상북도,2907,2982,2987,3160,3488,208.3639384,19034795138,2691706,2676831,2665836,2639422,2626609,2116770,2126282,2123709,2121029,2119257
174,충청남도,경상남도,2804,2986,2953,3173,3151,206.7738691,10541895014,3380404,3373988,3362553,3340216,3314183,2116770,2126282,2123709,2121029,2119257
